Approved_symbol	Locus	Chromosome
A1BG	19q13.43	19
A1BG-AS1	19q13.43	19
A1CF	10q11.23	10
A2M	12p13.31	12
A2M-AS1	12p13.31	12
A2ML1	12p13.31	12
A2ML1-AS1	12p13.31	12
A2ML1-AS2	12p13.31	12
A2MP1	12p13.31	12
A3GALT2	1p35.1	1
A4GALT	22q13.2	22
A4GNT	3q22.3	3
AA	11p15	11
AAAS	12q13.13	12
AACS	12q24.31	12
AACSP1	5q35.3	5
AADAC	3q25.1	3
AADACL2	3q25.1	3
AADACL2-AS1	3q25.1	3
AADACL3	1p36.21	1
AADACL4	1p36.21	1
AADACP1	3q25.1	3
AADAT	4q33	4
AAGAB	15q23	15
AAK1	2p13.3	2
AAMDC	11q14.1	11
AAMP	2q35	2
AANAT	17q25.1	17
AAR2	20q11.23	20
AARD	8q24.11	8
AARS1	16q22.1	16
AARS1P1	4q28.3	4
AARS2	6p21.1	6
AARSD1	17q21.31	17
AARSD1P1	Xq13.2	X
AASDH	4q12	4
AASDHPPT	11q22.3	11
AASS	7q31.32	7
AATBC	21q22.3	21
AATF	17q12	17
AATK	17q25.3	17
AAVS1	19q13	19
ABALON	20q11.21	20
ABAT	16p13.2	16
ABCA1	9q31.1	9
ABCA2	9q34.3	9
ABCA3	16p13.3	16
ABCA3P1	16p12.2	16
ABCA4	1p22.1	1
ABCA5	17q24.3	17
ABCA6	17q24.2-q24.3	17
ABCA7	19p13.3	19
ABCA8	17q24.2	17
ABCA9	17q24.2	17
ABCA9-AS1	17q24.2	17
ABCA10	17q24.3	17
ABCA11P	4p16.3	4
ABCA12	2q35	2
ABCA13	7p12.3	7
ABCA15P	16p12.2	16
ABCA17P	16p13.3	16
ABCB1	7q21.12	7
ABCB4	7q21.12	7
ABCB5	7p21.1	7
ABCB6	2q35	2
ABCB7	Xq13.3	X
ABCB8	7q36.1	7
ABCB9	12q24.31	12
ABCB10	1q42.13	1
ABCB10P1	15q11.2	15
ABCB10P2	15q11.2	15
ABCB10P3	15q13.1	15
ABCB10P4	15q13.1	15
ABCB11	2q31.1	2
ABCC1	16p13.11	16
ABCC2	10q24.2	10
ABCC3	17q21.33	17
ABCC4	13q32.1	13
ABCC5	3q27.1	3
ABCC5-AS1	3q27.1	3
ABCC6	16p13.11	16
ABCC6P1	16p12.3	16
ABCC6P2	16p13.11	16
ABCC8	11p15.1	11
ABCC9	12p12.1	12
ABCC10	6p21.1	6
ABCC11	16q12.1	16
ABCC12	16q12.1	16
ABCC13	21q11.2	21
ABCD1	Xq28	X
ABCD1P1	2p11.2	2
ABCD1P2	10p11.1	10
ABCD1P3	16p11.2	16
ABCD1P4	22q11.1	22
ABCD1P5	2p11.1	2
ABCD2	12q12	12
ABCD3	1p21.3	1
ABCD4	14q24.3	14
ABCE1	4q31.21	4
ABCF1	6p21.33	6
ABCF1-DT	6p21.33	6
ABCF2	7q36.1	7
ABCF2-H2BK1	7q36.1	7
ABCF2P1	3p11.1	3
ABCF2P2	7q11.22	7
ABCF3	3q27.1	3
ABCG1	21q22.3	21
ABCG2	4q22.1	4
ABCG4	11q23.3	11
ABCG5	2p21	2
ABCG8	2p21	2
ABHD1	2p23.3	2
ABHD2	15q26.1	15
ABHD3	18q11.2	18
ABHD4	14q11.2	14
ABHD5	3p21.33	3
ABHD6	3p14.3	3
ABHD8	19p13.11	19
ABHD10	3q13.2	3
ABHD11	7q11.23	7
ABHD11-AS2	7q11.23	7
ABHD12	20p11.21	20
ABHD12B	14q22.1	14
ABHD13	13q33.3	13
ABHD14A	3p21.2	3
ABHD14A-ACY1	3p21.2	3
ABHD14B	3p21.2	3
ABHD15	17q11.2	17
ABHD15-AS1	17q11.2	17
ABHD16A	6p21.33	6
ABHD16B	20q13.33	20
ABHD17A	19p13.3	19
ABHD17AP1	1q21.2	1
ABHD17AP2	1q21.1	1
ABHD17AP3	1q41	1
ABHD17AP4	22q11.21	22
ABHD17AP5	22q11.22	22
ABHD17AP6	17p11.2	17
ABHD17AP7	16p11.2	16
ABHD17AP8	16p11.2	16
ABHD17AP9	16p11.2	16
ABHD17B	9q21.13	9
ABHD17C	15q25.1	15
ABHD18	4q28.2	4
ABI1	10p12.1	10
ABI1P1	14q22.3	14
ABI2	2q33.2	2
ABI3	17q21.32	17
ABI3BP	3q12.2	3
ABITRAM	9q31.3	9
ABITRAMP1	13q14.13	13
ABL1	9q34.12	9
ABL2	1q25.2	1
ABLIM1	10q25.3	10
ABLIM2	4p16.1	4
ABLIM3	5q32	5
ABO	9q34.2	9
ABR	17p13.3	17
ABR-AS1	17p13.3	17
ABRA	8q23.1	8
ABRACL	6q24.1	6
ABRAXAS1	4q21.23	4
ABRAXAS1P1	3q12.2	3
ABRAXAS1P2	8p22	8
ABRAXAS2	10q26.13	10
ABT1	6p22.2	6
ABT1P1	4q23	4
ABTB1	3q21.3	3
ABTB2	11p13	11
ABTB3	12q23.3	12
ACAA1	3p22.2	3
ACAA2	18q21.1	18
ACAA2P1	Xp11.23	X
ACACA	17q12	17
ACACB	12q24.11	12
ACAD8	11q25	11
ACAD9	3q21.3	3
ACAD9-DT	3q21.3	3
ACAD10	12q24.12	12
ACAD11	3q22.1	3
ACADL	2q34	2
ACADM	1p31.1	1
ACADS	12q24.31	12
ACADSB	10q26.13	10
ACADVL	17p13.1	17
ACAN	15q26.1	15
ACAP1	17p13.1	17
ACAP2	3q29	3
ACAP2-IT1	3q29	3
ACAP3	1p36.33	1
ACAT1	11q22.3	11
ACAT2	6q25.3	6
ACBD3	1q42.12	1
ACBD3-AS1	1q42.12	1
ACBD4	17q21.31	17
ACBD5	10p12.1	10
ACBD6	1q25.2-q25.3	1
ACBD7	10p13	10
ACCPN	15q13-q15	15
ACCS	11p11.2	11
ACCSL	11p11.2	11
ACD	16q22.1	16
ACE	17q23.3	17
ACE2	Xp22.2	X
ACE2-DT	Xp22.2	X
ACE3P	17q23.3	17
ACER1	19p13.3	19
ACER2	9p22.1	9
ACER2P1	2q33.3	2
ACER3	11q13.5	11
ACHAP	reserved	reserved
ACHE	7q22.1	7
ACHM1	14	14
ACHM3	8q22.1-q22.2	8
ACIN1	14q11.2	14
ACKR1	1q23.2	1
ACKR2	3p22.1	3
ACKR3	2q37.3	2
ACKR4	3q22.1	3
ACKR4P1	6q24.1	6
ACLS	12p13.3-p11.2	12
ACLY	17q21.2	17
ACMSD	2q21.3	2
ACNATP	9q31.1	9
ACO1	9p21.1	9
ACO2	22q13.2	22
ACOD1	13q22.3	13
ACOT1	14q24.3	14
ACOT2	14q24.3	14
ACOT4	14q24.3	14
ACOT6	14q24.3	14
ACOT7	1p36.31	1
ACOT8	20q13.12	20
ACOT9	Xp22.11	X
ACOT11	1p32.3	1
ACOT12	5q14.1	5
ACOT13	6p22.3	6
ACOX1	17q25.1	17
ACOX2	3p14.3	3
ACOX3	4p16.1	4
ACOXL	2q13	2
ACOXL-AS1	2q13	2
ACP1	2p25.3	2
ACP2	11p11.2	11
ACP3	3q22.1	3
ACP4	19q13.33	19
ACP5	19p13.2	19
ACP6	1q21.2	1
ACP7	19q13.2	19
ACR	22q13.33	22
ACRBP	12p13.31	12
ACRP1	2q14.1	2
ACRV1	11q24.2	11
ACSBG1	15q25.1	15
ACSBG2	19p13.3	19
ACSF2	17q21.33	17
ACSF3	16q24.3	16
ACSL1	4q35.1	4
ACSL3	2q36.1	2
ACSL3-AS1	2q36.1	2
ACSL3P1	3q22.1	3
ACSL4	Xq23	X
ACSL5	10q25.2	10
ACSL6	5q31.1	5
ACSL6-AS1	5q31.1	5
ACSM1	16p12.3	16
ACSM2A	16p12.3	16
ACSM2B	16p12.3	16
ACSM3	16p12.3	16
ACSM4	12p13.31	12
ACSM5	16p12.3	16
ACSM5P1	16p12.3	16
ACSM6	10q23.33	10
ACSS1	20p11.21	20
ACSS2	20q11.22	20
ACSS3	12q21.31	12
ACTA1	1q42.13	1
ACTA2	10q23.31	10
ACTA2-AS1	10q23.31	10
ACTB	7p22.1	7
ACTBL2	5q11.2	5
ACTBP1	Xp11.3	X
ACTBP2	5q14.1	5
ACTBP3	18q21.33	18
ACTBP4	5q31.1	5
ACTBP5	7q36.1	7
ACTBP6	8q21.2	8
ACTBP7	15q15.3	15
ACTBP8	6q15	6
ACTBP9	18q21.33	18
ACTBP10	14q11.2	14
ACTBP11	1q41	1
ACTBP12	1p22.1	1
ACTBP14	10q22.1	10
ACTBP15	22q13.2	22
ACTBP16	3q26.33	3
ACTC1	15q14	15
ACTE1P	11q13.4	11
ACTG1	17q25.3	17
ACTG1P1	3q23	3
ACTG1P2	Yq11.222	Y
ACTG1P3	20p13	20
ACTG1P4	1p21.1	1
ACTG1P6	1p21	1
ACTG1P7	1p21	1
ACTG1P8	1p21	1
ACTG1P9	6p12.3	6
ACTG1P10	Xp11.22	X
ACTG1P11	Yq11.222	Y
ACTG1P12	3p25.2	3
ACTG1P13	3q12.1	3
ACTG1P14	9p24.1	9
ACTG1P15	15q14	15
ACTG1P16	16q12.1	16
ACTG1P17	15q25.2	15
ACTG1P18	6q16.3	6
ACTG1P19	9q31.1	9
ACTG1P20	1p36.11	1
ACTG1P21	1p31.1	1
ACTG1P22	2p16.1	2
ACTG1P23	3q26.31	3
ACTG1P24	17p11.2	17
ACTG1P25	1q32.1	1
ACTG2	2p13.1	2
ACTL4	3pter-q21	3
ACTL5	21q22.3	21
ACTL6A	3q26.33	3
ACTL6B	7q22.1	7
ACTL7A	9q31.3	9
ACTL7B	9q31.3	9
ACTL8	1p36.13	1
ACTL9	19p13.2	19
ACTL10	20q11.22	20
ACTL11P	3p21.31	3
ACTMAP	19q13.2	19
ACTN1	14q24.1	14
ACTN1-DT	14q24.1	14
ACTN2	1q43	1
ACTN3	11q13.2	11
ACTN4	19q13.2	19
ACTN4P1	4q26	4
ACTN4P2	1p34.3	1
ACTP1	2q12.3	2
ACTR1A	10q24.32	10
ACTR1AP1	2q13	2
ACTR1B	2q11.2	2
ACTR2	2p14	2
ACTR3	2q14.1	2
ACTR3-AS1	2q14.1	2
ACTR3B	7q36.1-q36.2	7
ACTR3BP1	Yq11.21	Y
ACTR3BP2	2p11.1	2
ACTR3BP3	16p11.2	16
ACTR3BP4	4q24	4
ACTR3BP5	10p11.1	10
ACTR3BP6	22q11.1	22
ACTR3BP7	22p11.2	22
ACTR3C	7q36.1	7
ACTR3P1	14q11.2	14
ACTR3P2	Xq13.1	X
ACTR3P3	3q12.2	3
ACTR5	20q11.23	20
ACTR6	12q23.1	12
ACTR6P1	4q25	4
ACTR8	3p21.1	3
ACTR10	14q23.1	14
ACTRT1	Xq25	X
ACTRT1P1	Xq25	X
ACTRT2	1p36.32	1
ACTRT3	3q26.2	3
ACVR1	2q24.1	2
ACVR1B	12q13.13	12
ACVR1C	2q24.1	2
ACVR2A	2q22.3-q23.1	2
ACVR2B	3p22.2	3
ACVR2B-AS1	3p22.2	3
ACVRL1	12q13.13	12
ACY1	3p21.2	3
ACY1L	18q22.1	18
ACY3	11q13.2	11
ACYP1	14q24.3	14
ACYP2	2p16.2	2
AD2	19	19
AD5	12p11.23-q13.12	12
ADA	20q13.12	20
ADA2	22q11.1	22
ADAD1	4q27	4
ADAD1P1	3p22.2	3
ADAD1P2	18q21.1	18
ADAD2	16q24.1	16
ADAL	15q15.3	15
ADAM1A	12q24.12-q24.13	12
ADAM1B	12q24.13	12
ADAM2	8p11.22	8
ADAM3A	8p11.22	8
ADAM3B	16q12.1	16
ADAM5	8p11.22	8
ADAM6	14q32.33	14
ADAM7	8p21.2	8
ADAM7-AS1	8p21.2	8
ADAM7-AS2	8p21.2	8
ADAM8	10q26.3	10
ADAM9	8p11.22	8
ADAM10	15q21.3	15
ADAM11	17q21.31	17
ADAM12	10q26.2	10
ADAM12-OT1	10q26.2	10
ADAM15	1q21.3	1
ADAM17	2p25.1	2
ADAM18	8p11.22	8
ADAM19	5q33.3	5
ADAM20	14q24.2	14
ADAM20P1	14q24.2	14
ADAM20P2	4q34.2	4
ADAM20P3	4q35.2	4
ADAM21	14q24.2	14
ADAM21P1	14q24.2	14
ADAM22	7q21.12	7
ADAM23	2q33.3	2
ADAM24P	8p22	8
ADAM28	8p21.2	8
ADAM29	4q34.1	4
ADAM30	1p12	1
ADAM32	8p11.22	8
ADAM33	20p13	20
ADAMDEC1	8p21.2	8
ADAMTS1	21q21.3	21
ADAMTS2	5q35.3	5
ADAMTS3	4q13.3	4
ADAMTS4	1q23.3	1
ADAMTS5	21q21.3	21
ADAMTS6	5q12.3	5
ADAMTS7	15q25.1	15
ADAMTS7P1	15q25.2	15
ADAMTS7P2	15q25.2	15
ADAMTS7P3	15q24.3	15
ADAMTS7P4	15q25.3	15
ADAMTS8	11q24.3	11
ADAMTS9	3p14.1	3
ADAMTS9-AS1	3p14.1	3
ADAMTS9-AS2	3p14.1	3
ADAMTS10	19p13.2	19
ADAMTS12	5p13.3-p13.2	5
ADAMTS13	9q34.2	9
ADAMTS14	10q22.1	10
ADAMTS15	11q24.3	11
ADAMTS16	5p15.32	5
ADAMTS16-DT	5p15.32	5
ADAMTS17	15q26.3	15
ADAMTS18	16q23.1	16
ADAMTS19	5q23.3	5
ADAMTS19-AS1	5q23.3	5
ADAMTS20	12q12	12
ADAMTS21	reserved	reserved
ADAMTSL1	9p22.2-p22.1	9
ADAMTSL2	9q34.2	9
ADAMTSL3	15q25.2	15
ADAMTSL4	1q21.2	1
ADAMTSL4-AS1	1q21.2	1
ADAMTSL4-AS2	1q21.2	1
ADAMTSL5	19p13.3	19
ADAP1	7p22.3	7
ADAP2	17q11.2	17
ADAR	1q21.3	1
ADARB1	21q22.3	21
ADARB2	10p15.3	10
ADARB2-AS1	10p15.3	10
ADAT1	16q23.1	16
ADAT2	6q24.2	6
ADAT3	19p13.3	19
ADCK1	14q24.3	14
ADCK2	7q34	7
ADCK5	8q24.3	8
ADCP1	6	6
ADCY1	7p12.3	7
ADCY2	5p15.31	5
ADCY3	2p23.3	2
ADCY4	14q12	14
ADCY5	3q21.1	3
ADCY6	12q13.12	12
ADCY6-DT	12q13.12	12
ADCY7	16q12.1	16
ADCY8	8q24.22	8
ADCY9	16p13.3	16
ADCY10	1q24.2	1
ADCY10P1	6p21.1	6
ADCYAP1	18p11.32	18
ADCYAP1R1	7p14.3	7
ADD1	4p16.3	4
ADD2	2p13.3	2
ADD3	10q25.1-q25.2	10
ADD3-AS1	10q25.1	10
ADFN	Xq26.3-q27.1	X
ADGB	6q24.3	6
ADGB-DT	6q24.3	6
ADGRA1	10q26.3	10
ADGRA1-AS1	10q26.3	10
ADGRA2	8p11.23	8
ADGRA3	4p15.2	4
ADGRA3P1	18p11.21	18
ADGRB1	8q24.3	8
